id,cluster
P515885_rev_000277,11
P510506_rev_000485,7
P479319_rev_000146,27
P515885_rev_000403,11
P479319_rev_000170,-1
P479319_rev_000038,27
P479319_rev_000088,27
P510506_rev_000482,7
P479319_rev_000095,27
P479319_rev_000114,27
P510506_rev_000446,7
P510506_rev_000460,7
P515885_rev_000327,11
P515885_rev_000310,11
P515885_rev_000368,11
P515885_rev_000217,11
P515885_rev_000224,11
P479319_rev_000121,27
P510506_rev_000433,7
P515885_rev_000227,11
P515885_rev_000391,11
P510506_rev_000442,7
P515885_rev_000260,11
P515885_rev_000373,11
P515885_rev_000334,11
P510506_rev_000491,7
P515885_rev_000229,11
P515885_rev_000251,11
P510506_rev_000455,7
P515885_rev_000240,11
P515885_rev_000299,11
P515885_rev_000395,11
P515885_rev_000272,11
P479319_rev_000023,27
P479319_rev_000153,27
P479319_rev_000190,27
P515885_rev_000293,11
P479319_rev_000189,27
P479319_rev_000005,27
P515885_rev_000238,11
P515885_rev_000206,11
P515885_rev_000244,11
P515885_rev_000346,11
P479319_rev_000155,27
P515885_rev_000357,11
P515885_rev_000371,11
P479319_rev_000073,27
P479319_rev_000164,27
P479319_rev_000036,27
P510506_rev_000467,7
P479319_rev_000053,27
P515885_rev_000423,11
P479319_rev_000027,-1
P515885_rev_000401,11
P510506_rev_000459,7
P515885_rev_000316,11
P510506_rev_000480,7
P510506_rev_000496,7
P479319_rev_000057,27
P479319_rev_000154,27
P515885_rev_000205,11
P479319_rev_000140,27
P515885_rev_000416,11
P515885_rev_000331,11
P515885_rev_000385,11
P479319_rev_000171,27
P515885_rev_000374,11
P515885_rev_000335,11
P479319_rev_000020,27
P479319_rev_000132,27
P515885_rev_000314,11
P479319_rev_000084,27
P510506_rev_000434,7
P479319_rev_000078,27
P510506_rev_000454,7
P510506_rev_000451,7
P515885_rev_000269,11
P515885_rev_000376,11
P515885_rev_000232,11
P479319_rev_000006,27
P479319_rev_000049,27
P515885_rev_000202,11
P510506_rev_000441,7
P479319_rev_000017,27
P515885_rev_000363,11
